,location,latitude,longitude,pt,weather
0,Aigues Mortes,43.5658225,4.1912837,20.761428571428574,clear sky
1,Aix en Provence,43.5298424,5.4474738,21.84142857142857,light rain
2,Amiens,49.8941708,2.2956951,17.592857142857145,"light rain, overcast clouds"
3,Annecy,45.8992348,6.1288847,20.73428571428571,light rain
4,Ariege,42.9455368,1.4065544156065486,16.18285714285714,light rain
5,Avignon,43.9492493,4.8059012,24.342857142857145,clear sky
6,Bayeux,49.2764624,-0.7024738,16.021428571428572,light rain
7,Bayonne,43.4933379,-1.475099,19.158571428571427,"broken clouds, light rain"
8,Besancon,47.2380222,6.0243622,20.84857142857143,light rain
9,Biarritz,43.4832523,-1.5592776,18.444285714285716,"broken clouds, light rain"
10,Bormes les Mimosas,43.1572172,6.329253867921363,20.58142857142857,"clear sky, light rain"
11,Carcassonne,43.2130358,2.3491069,22.415714285714284,"clear sky, scattered clouds"
12,Cassis,43.2140359,5.5396318,19.40285714285714,clear sky
13,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,17.747142857142858,light rain
14,Collioure,42.52505,3.0831554,21.79,"clear sky, overcast clouds"
15,Colmar,48.0777517,7.3579641,21.332857142857144,light rain
16,Dijon,47.3215806,5.0414701,20.26571428571429,light rain
17,Eguisheim,48.0447968,7.3079618,21.33285714285714,light rain
18,Gorges du Verdon,43.7496562,6.3285616,18.19142857142857,"light rain, moderate rain"
19,Grenoble,45.1875602,5.7357819,22.525714285714287,light rain
20,La Rochelle,46.1591126,-1.1520434,17.768571428571427,"clear sky, overcast clouds"
21,Le Havre,49.4938975,0.1079732,14.178571428571429,overcast clouds
22,Lille,50.6365654,3.0635282,17.392857142857142,overcast clouds
23,Lyon,45.7578137,4.8320114,22.967142857142857,light rain
24,Marseille,43.2961743,5.3699525,19.48857142857143,clear sky
25,Mont Saint Michel,48.6359541,-1.511459954959514,16.715714285714288,"light rain, overcast clouds"
26,Montauban,44.0175835,1.3549991,22.181428571428572,"clear sky, overcast clouds"
27,Nimes,43.8374249,4.3600687,23.681428571428572,clear sky
28,Paris,48.8588897,2.3200410217200766,20.04,"light rain, scattered clouds"
29,Rouen,49.4404591,1.0939658,17.142857142857142,"light rain, overcast clouds"
30,Saintes Maries de la mer,43.4522771,4.4287172,19.65142857142857,"broken clouds, clear sky, overcast clouds"
31,St Malo,48.649518,-2.0260409,15.348571428571429,overcast clouds
32,Strasbourg,48.584614,7.7507127,21.215714285714284,light rain
33,Toulouse,43.6044622,1.4442469,22.135714285714283,light rain
34,Uzes,44.0121279,4.4196718,23.467142857142857,clear sky
